,map_id
1183,R28886
1184,R35408
1185,R29019
1186,R35594
1187,R34998
1188,R35598
1189,R34995
1190,R35596
1191,R35597
1192,R34992
1193,R35587
1194,R35509
1195,R35585
1196,R35505
1197,R35580
1198,R34972
1199,R34975
1200,R35508
1201,R34884
1202,R35584
1203,R35503
1204,R34881
1205,R35507
1206,R313925
1207,R314057
1208,R34872
1209,R34875
1210,R35326
1211,R35324
1212,R34878
1213,R35499
1214,R35504
1215,R35327
1216,R35500
1217,R35325
1218,R35498
1219,R35323
1220,R35426
1221,R34793
1222,R35496
1223,R34356
1224,R34790
1225,R35422
1226,R34362
1227,R322173
1228,R34359
1229,R35264
1230,R35267
1231,R35262
1232,R34796
1233,R35421
1234,R34350
1235,R34780
1236,R34783
1237,R34785
1238,R35419
1239,R34777
1240,R34344
1241,R35415
1242,R35274
1243,R35275
1244,R34774
1245,R35258
1246,R35417
1247,R34347
1248,R27702
1249,R35272
1250,R28390
1251,R34205
1252,R28000
1253,R27698
1254,R27712
1255,R27716
1256,R28680
1257,R28398
1258,R28682
1259,R27998
1260,R28678
1261,R28404
1262,R27689
1263,R35073
1264,R35048
1265,R34194
1266,R27991
1267,R34203
1268,R35270
1269,R27685
1270,R27993
1271,R35049
1272,R35075
1273,R27694
1274,R27996
1275,R322107
1276,R34192
1277,R309340
1278,R35266
1279,R35261
1280,R34443
1281,R35263
1282,R35038
1283,R35257
1284,R34166
1285,R34163
1286,R35265
1287,R35042
1288,R35256
1289,R34438
1290,R34435
1291,R34117
1292,R34120
1293,R34967
1294,R315518
1295,R34104
1296,R34991
1297,R34970
1298,R28672
1299,R27680
1300,R28676
1301,R28674
1302,R12499
1303,R322820
1304,R28670
1305,R28662
1306,R28669
1307,R27981
1308,R28386
1309,R28665
1310,R28383
1311,R28379
1312,R27672
1313,R28667
1314,R27984
1315,R28375
1316,R27978
1317,R27675
1318,R27972
1319,R28659
1320,R27669
1321,R28657
1322,R27959
1323,R27627
1324,R28637
1325,R28634
1326,R27963
1327,R27975
1328,R27969
1329,R28369
1330,R27655
1331,R28631
1332,R27621
1333,R27953
1334,R28358
1335,R26929
1336,R27624
1337,R27068
1338,R26933
1339,R27935
1340,R27071
1341,R28051
1342,R28320
1343,R28333
1344,R26748
1345,R26942
1346,R27477
1347,R323599
1348,R26647
1349,R26625
1350,R27138
1351,R27485
1352,R27482
1353,R27133
1354,R26627
1355,R27092
1356,R26645
1357,R26623
1358,R26816
1359,R26624
1360,R26176
1361,R26318
1362,R26115
1363,R26475
1364,R26781
1365,R25796
1366,R26173
1367,R26539
1368,R27289
1369,R26446
1370,R63544
1371,R27088
1372,R26154
1373,R26230
1374,R26588
1378,R20119
1382,R19845
1388,R19717
1389,R19518
1404,R19966
1407,R308077
1408,R19644
1409,R321974
1410,R20038
1412,R308130
1414,R308069
1415,R320702
1417,R19496
1419,R20049
1420,R308068
1421,R19494
1422,R10238
1425,R20016
1429,R20013
1433,R20019
1435,R19493
1437,R19618
1441,R20001
1462,R19485
1463,R19482
1464,R19486
1468,R19720
1473,R19563
1476,R19980
1488,R11370
1489,R20260
1491,R10799
1492,R19541
1494,R19819
1496,R19781
1497,R19853
1498,R308195
1499,R19539
1501,R20194
1502,R20010
1513,R10241
1514,R20158
1518,R20177
1525,R19883
1529,R19875
1557,R20106
1558,R20058
1559,R317160
1560,R19660
1561,R20067
1562,R25223
1563,R19507
1564,R19808
1565,R25227
1566,R20071
1567,R19703
1568,R26127
1570,R323106
1571,R10390
1573,R323101
1574,R323107
1575,R323104
1576,R323105
1577,R323102
1578,R323109
1579,R323158
1580,R24967
1581,R24626
1582,R323103
1583,R323108
1585,R323100
1586,R323099
1587,R323098
1589,R323096
1591,R323095
